City_Country,lat,lng,city,country
"Tokyo, Tōkyō - Japan",35.6897,139.6922,Tokyo,Japan
"Jakarta, Jakarta - Indonesia",-6.175,106.8275,Jakarta,Indonesia
"Delhi, Delhi - India",28.61,77.23,Delhi,India
"Guangzhou, Guangdong - China",23.13,113.26,Guangzhou,China
"Mumbai, Mahārāshtra - India",19.0761,72.8775,Mumbai,India
"Manila, Manila - Philippines",14.5958,120.9772,Manila,Philippines
"Shanghai, Shanghai - China",31.2286,121.4747,Shanghai,China
"São Paulo, São Paulo - Brazil",-23.55,-46.6333,São Paulo,Brazil
"Seoul, Seoul - Korea, South",37.56,126.99,Seoul,"Korea, South"
"Mexico City, Ciudad de México - Mexico",19.4333,-99.1333,Mexico City,Mexico
"Cairo, Al Qāhirah - Egypt",30.0444,31.2358,Cairo,Egypt
"New York, New York - United States",40.6943,-73.9249,New York,United States
"Dhaka, Dhaka - Bangladesh",23.7639,90.3889,Dhaka,Bangladesh
"Beijing, Beijing - China",39.9067,116.3975,Beijing,China
"Kolkāta, West Bengal - India",22.5675,88.37,Kolkāta,India
"Bangkok, Krung Thep Maha Nakhon - Thailand",13.7525,100.4942,Bangkok,Thailand
"Shenzhen, Guangdong - China",22.5415,114.0596,Shenzhen,China
"Moscow, Moskva - Russia",55.7558,37.6172,Moscow,Russia
"Buenos Aires, Buenos Aires, Ciudad Autónoma de - Argentina",-34.6033,-58.3817,Buenos Aires,Argentina
"Lagos, Lagos - Nigeria",6.455,3.3841,Lagos,Nigeria
"Istanbul, İstanbul - Turkey",41.0136,28.955,Istanbul,Turkey
"Karachi, Sindh - Pakistan",24.86,67.01,Karachi,Pakistan
"Bangalore, Karnātaka - India",12.9789,77.5917,Bangalore,India
"Ho Chi Minh City, Hồ Chí Minh - Vietnam",10.7756,106.7019,Ho Chi Minh City,Vietnam
"Ōsaka, Ōsaka - Japan",34.6939,135.5022,Ōsaka,Japan
"Chengdu, Sichuan - China",30.66,104.0633,Chengdu,China
"Tehran, Tehrān - Iran",35.6892,51.3889,Tehran,Iran
"Kinshasa, Kinshasa - Congo (Kinshasa)",-4.3219,15.3119,Kinshasa,Congo (Kinshasa)
"Rio de Janeiro, Rio de Janeiro - Brazil",-22.9111,-43.2056,Rio de Janeiro,Brazil
"Chennai, Tamil Nādu - India",13.0825,80.275,Chennai,India
"Xi’an, Shaanxi - China",34.2611,108.9422,Xi’an,China
"Lahore, Punjab - Pakistan",31.5497,74.3436,Lahore,Pakistan
"Chongqing, Chongqing - China",29.5637,106.5504,Chongqing,China
"Los Angeles, California - United States",34.1141,-118.4068,Los Angeles,United States
"Baoding, Hebei - China",38.874,115.464,Baoding,China
"London, London, City of - United Kingdom",51.5072,-0.1275,London,United Kingdom
"Paris, Île-de-France - France",48.8567,2.3522,Paris,France
"Linyi, Shandong - China",35.1038,118.3564,Linyi,China
"Dongguan, Guangdong - China",23.021,113.752,Dongguan,China
"Hyderābād, Telangāna - India",17.3617,78.4747,Hyderābād,India
"Tianjin, Tianjin - China",39.1336,117.2054,Tianjin,China
"Lima, Lima - Peru",-12.06,-77.0375,Lima,Peru
"Wuhan, Hubei - China",30.5934,114.3046,Wuhan,China
"Nanyang, Henan - China",32.9987,112.5292,Nanyang,China
"Hangzhou, Zhejiang - China",30.267,120.153,Hangzhou,China
"Foshan, Guangdong - China",23.0214,113.1216,Foshan,China
"Nagoya, Aichi - Japan",35.1833,136.9,Nagoya,Japan
"Tongshan, Jiangsu - China",34.204,117.284,Tongshan,China
"Luanda, Luanda - Angola",-8.8383,13.2344,Luanda,Angola
"Zhoukou, Henan - China",33.625,114.6418,Zhoukou,China
"Ganzhou, Jiangxi - China",25.831,114.933,Ganzhou,China
"Kuala Lumpur, Kuala Lumpur - Malaysia",3.1478,101.6953,Kuala Lumpur,Malaysia
"Heze, Shandong - China",35.2343,115.4796,Heze,China
"Quanzhou, Fujian - China",24.8744,118.6757,Quanzhou,China
"Johannesburg, Gauteng - South Africa",-26.2044,28.0456,Johannesburg,South Africa
"Chicago, Illinois - United States",41.8375,-87.6866,Chicago,United States
"Nanjing, Jiangsu - China",32.0608,118.7789,Nanjing,China
"Jining, Shandong - China",35.4151,116.5871,Jining,China
"Hanoi, Hà Nội - Vietnam",21.0,105.85,Hanoi,Vietnam
"Pune, Mahārāshtra - India",18.5203,73.8567,Pune,India
"Fuyang, Anhui - China",32.89,115.814,Fuyang,China
"Ahmedabad, Gujarāt - India",23.0225,72.5714,Ahmedabad,India
"Bogotá, Bogotá - Colombia",4.7111,-74.0722,Bogotá,Colombia
"Shenyang, Liaoning - China",41.8025,123.4281,Shenyang,China
"Dar es Salaam, Dar es Salaam - Tanzania",-6.8161,39.2803,Dar es Salaam,Tanzania
"Khartoum, Khartoum - Sudan",15.6,32.5,Khartoum,Sudan
"Shangqiu, Henan - China",34.415,115.656,Shangqiu,China
"Hong Kong, Hong Kong - Hong Kong",22.3,114.2,Hong Kong,Hong Kong
"Cangzhou, Hebei - China",38.3047,116.8387,Cangzhou,China
"Riyadh, Ar Riyāḑ - Saudi Arabia",24.6333,46.7167,Riyadh,Saudi Arabia
"Santiago, Región Metropolitana - Chile",-33.4372,-70.6506,Santiago,Chile
"Xingtai, Hebei - China",37.0717,114.5048,Xingtai,China
"Zhumadian, Henan - China",33.014,114.022,Zhumadian,China
"Chattogram, Chattogram - Bangladesh",22.335,91.8325,Chattogram,Bangladesh
"Surabaya, Jawa Timur - Indonesia",-7.2458,112.7378,Surabaya,Indonesia
"Zhanjiang, Guangdong - China",21.2701,110.3575,Zhanjiang,China
"Bijie, Guizhou - China",27.284,105.292,Bijie,China
"Yancheng, Jiangsu - China",33.3482,120.1626,Yancheng,China
"Hengyang, Hunan - China",26.894,112.572,Hengyang,China
"Zunyi, Guizhou - China",27.722,107.031,Zunyi,China
"Shaoyang, Hunan - China",27.2395,111.4679,Shaoyang,China
"Sūrat, Gujarāt - India",21.1702,72.8311,Sūrat,India
"Shangrao, Jiangxi - China",28.4551,117.9431,Shangrao,China
"Xinyang, Henan - China",32.149,114.091,Xinyang,China
"Madrid, Madrid - Spain",40.4169,-3.7033,Madrid,Spain
"Baghdad, Baghdād - Iraq",33.3153,44.3661,Baghdad,Iraq
"Maoming, Guangdong - China",21.6627,110.9255,Maoming,China
"Jieyang, Guangdong - China",23.551,116.3727,Jieyang,China
"Miami, Florida - United States",25.784,-80.2101,Miami,United States
"Singapore, Singapore - Singapore",1.3,103.8,Singapore,Singapore
"Houston, Texas - United States",29.786,-95.3885,Houston,United States
"Liaocheng, Shandong - China",36.4559,115.9852,Liaocheng,China
"Huanggang, Hubei - China",30.4537,114.8724,Huanggang,China
"Dalian, Liaoning - China",38.9,121.6,Dalian,China
"Dallas, Texas - United States",32.7935,-96.7667,Dallas,United States
"Qingdao, Shandong - China",36.0669,120.3827,Qingdao,China
"Yulin, Guangxi - China",22.654,110.181,Yulin,China
"Douala, Littoral - Cameroon",4.05,9.7,Douala,Cameroon
"Qujing, Yunnan - China",25.491,103.796,Qujing,China
"Nangandao, Henan - China",35.3036,113.9268,Nangandao,China
"Philadelphia, Pennsylvania - United States",40.0077,-75.1339,Philadelphia,United States
"Pudong, Shanghai - China",31.2347,121.5064,Pudong,China
"Toronto, Ontario - Canada",43.7417,-79.3733,Toronto,Canada
"Zhengzhou, Henan - China",34.764,113.684,Zhengzhou,China
"Dezhou, Shandong - China",37.436,116.359,Dezhou,China
"Nanchong, Sichuan - China",30.8372,106.1106,Nanchong,China
"Jinan, Shandong - China",36.6702,117.0207,Jinan,China
"Giza, Al Jīzah - Egypt",29.987,31.2118,Giza,Egypt
"Nairobi, Nairobi City - Kenya",-1.2864,36.8172,Nairobi,Kenya
"Guadalajara, Jalisco - Mexico",20.6767,-103.3475,Guadalajara,Mexico
"Ankara, Ankara - Turkey",39.93,32.85,Ankara,Turkey
"Tai’an, Shandong - China",36.202,117.087,Tai’an,China
"Langfang, Hebei - China",39.5383,116.6835,Langfang,China
"Dazhou, Sichuan - China",31.2093,107.4678,Dazhou,China
"Saint Petersburg, Sankt-Peterburg - Russia",59.9375,30.3086,Saint Petersburg,Russia
"Monterrey, Nuevo León - Mexico",25.6667,-100.3,Monterrey,Mexico
"Belo Horizonte, Minas Gerais - Brazil",-19.9167,-43.9333,Belo Horizonte,Brazil
"Suzhou, Anhui - China",33.6333,116.9683,Suzhou,China
"Yongzhou, Hunan - China",26.42,111.613,Yongzhou,China
"Changde, Hunan - China",29.031,111.699,Changde,China
"Xiangyang, Hubei - China",32.01,112.122,Xiangyang,China
"Rangoon, Yangon - Burma",16.795,96.16,Rangoon,Burma
"Atlanta, Georgia - United States",33.7628,-84.422,Atlanta,United States
"Washington, District of Columbia - United States",38.9047,-77.0163,Washington,United States
"Zhaotong, Yunnan - China",27.338,103.717,Zhaotong,China
"Zhangzhou, Fujian - China",24.513,117.647,Zhangzhou,China
"Melbourne, Victoria - Australia",-37.8142,144.9631,Melbourne,Australia
"Yichun, Jiangxi - China",27.816,114.417,Yichun,China
"Bozhou, Anhui - China",33.8626,115.7742,Bozhou,China
"Suqian, Jiangsu - China",33.9331,118.2831,Suqian,China
"Abidjan, Abidjan - Côte d’Ivoire",5.3167,-4.0333,Abidjan,Côte d’Ivoire
"Ji’an, Jiangxi - China",27.0912,114.9668,Ji’an,China
"Guilin, Guangxi - China",25.275,110.296,Guilin,China
"Pingdingshan, Henan - China",33.735,113.2999,Pingdingshan,China
"Berlin, Berlin - Germany",52.52,13.405,Berlin,Germany
"Alexandria, Al Iskandarīyah - Egypt",31.1975,29.8925,Alexandria,Egypt
"Mianyang, Sichuan - China",31.468,104.679,Mianyang,China
"Sydney, New South Wales - Australia",-33.8678,151.21,Sydney,Australia
"Huanglongsi, Henan - China",34.795,114.345,Huanglongsi,China
"Barcelona, Catalonia - Spain",41.3828,2.1769,Barcelona,Spain
"Yuncheng, Shanxi - China",35.0267,111.007,Yuncheng,China
"Cape Town, Western Cape - South Africa",-33.9253,18.4239,Cape Town,South Africa
"Changsha, Hunan - China",28.228,112.939,Changsha,China
"Jeddah, Makkah al Mukarramah - Saudi Arabia",21.5433,39.1728,Jeddah,Saudi Arabia
"Weinan, Shaanxi - China",34.5206,109.471,Weinan,China
"Chenzhou, Hunan - China",25.77,113.016,Chenzhou,China
"Jiangmen, Guangdong - China",22.5789,113.0815,Jiangmen,China
"Jiujiang, Jiangxi - China",29.661,115.954,Jiujiang,China
"Xinpu, Jiangsu - China",34.5966,119.2214,Xinpu,China
"Yibin, Sichuan - China",28.752,104.643,Yibin,China
"Huaihua, Hunan - China",27.5698,110.0016,Huaihua,China
"Yangzhou, Jiangsu - China",32.3912,119.4363,Yangzhou,China
"Taizhou, Jiangsu - China",32.4567,119.9229,Taizhou,China
"Kunming, Yunnan - China",25.0464,102.7094,Kunming,China
"Yiyang, Hunan - China (28.5549, 112.356)",28.5549,112.356,Yiyang,China
"Changchun, Jilin - China",43.897,125.326,Changchun,China
"Lu’an, Anhui - China",31.736,116.52,Lu’an,China
"Jiangguanchi, Henan - China",34.0244,113.8201,Jiangguanchi,China
"Meizhou, Guangdong - China",24.289,116.122,Meizhou,China
"Ürümqi, Xinjiang - China",43.8225,87.6125,Ürümqi,China
"Suzhou, Jiangsu - China",31.3,120.6194,Suzhou,China
"Boston, Massachusetts - United States",42.3188,-71.0852,Boston,United States
"İzmir, İzmir - Turkey",38.42,27.14,İzmir,Turkey
"Guigang, Guangxi - China",23.112,109.599,Guigang,China
"Shantou, Guangdong - China",23.354,116.682,Shantou,China
"Kabul, Kābul - Afghanistan",34.5253,69.1783,Kabul,Afghanistan
"Xiaoganzhan, Hubei - China",30.918,113.957,Xiaoganzhan,China
"Bamako, Bamako - Mali",12.6392,-8.0028,Bamako,Mali
"Luzhou, Sichuan - China",28.871,105.442,Luzhou,China
"Hefei, Anhui - China",31.8206,117.2273,Hefei,China
"Hengshui, Hebei - China",37.739,115.669,Hengshui,China
"Fortaleza, Ceará - Brazil",-3.7275,-38.5275,Fortaleza,Brazil
"Anqing, Anhui - China",30.5318,117.1153,Anqing,China
"Liuzhou, Guangxi - China",24.3264,109.4281,Liuzhou,China
"Zhangjiakou, Hebei - China",40.769,114.886,Zhangjiakou,China
"Zhaoqing, Guangdong - China",23.05,112.4667,Zhaoqing,China
"Shijiazhuang, Hebei - China",38.0425,114.51,Shijiazhuang,China
"Ningbo, Zhejiang - China",29.8603,121.6245,Ningbo,China
"Qiqihar, Heilongjiang - China",47.3549,123.9182,Qiqihar,China
"Phoenix, Arizona - United States",33.5722,-112.0892,Phoenix,United States
"Fuzhou, Jiangxi - China",27.949,116.358,Fuzhou,China
"Chifeng, Inner Mongolia - China",42.257,118.888,Chifeng,China
"Xiaoxita, Hubei - China",30.692,111.287,Xiaoxita,China
"Amman, Al ‘Āşimah - Jordan",31.9497,35.9328,Amman,Jordan
"Chuzhou, Anhui - China",32.256,118.333,Chuzhou,China
"Linfen, Shanxi - China",36.088,111.519,Linfen,China
"Qingyuan, Guangdong - China",23.682,113.056,Qingyuan,China
"Xianyang, Shaanxi - China",34.3299,108.7088,Xianyang,China
"Loudi, Hunan - China",27.6998,111.9944,Loudi,China
"Binzhou, Shandong - China",37.383,117.971,Binzhou,China
"Zhuzhou, Hunan - China",27.829,113.133,Zhuzhou,China
"Taiyuan, Shanxi - China",37.8704,112.5497,Taiyuan,China
"Nanning, Guangxi - China",22.8167,108.3275,Nanning,China
"Harbin, Heilongjiang - China",45.7576,126.6409,Harbin,China
"Abuja, Federal Capital Territory - Nigeria",9.0667,7.4833,Abuja,Nigeria
"Yokohama, Kanagawa - Japan",35.4442,139.6381,Yokohama,Japan
"Suihua, Heilongjiang - China",46.654,126.969,Suihua,China
"Zaozhuang, Shandong - China",34.8109,117.3238,Zaozhuang,China
"Detroit, Michigan - United States",42.3834,-83.1024,Detroit,United States
"Xiamen, Fujian - China",24.4796,118.0889,Xiamen,China
"Neijiang, Sichuan - China",29.5802,105.058,Neijiang,China
"Montréal, Quebec - Canada",45.5089,-73.5617,Montréal,Canada
"Fuzhou, Fujian - China",26.0743,119.2964,Fuzhou,China
"Baicheng, Guangxi - China",23.903,106.619,Baicheng,China
"Wuhu, Anhui - China",31.3526,118.4331,Wuhu,China
"Yulinshi, Shaanxi - China",38.2858,109.7341,Yulinshi,China
"Medan, Sumatera Utara - Indonesia",3.5894,98.6739,Medan,Indonesia
"Wenzhou, Zhejiang - China",27.9938,120.6993,Wenzhou,China
"Changzhou, Jiangsu - China",31.811,119.974,Changzhou,China
"Puyang, Henan - China",35.7627,115.0292,Puyang,China
"Jiaozuo, Henan - China",35.2157,113.2419,Jiaozuo,China
"Nanchang, Jiangxi - China",28.683,115.858,Nanchang,China
"Seattle, Washington - United States",47.6211,-122.3244,Seattle,United States
"Ibadan, Oyo - Nigeria",7.3964,3.9167,Ibadan,Nigeria
"Casablanca, Casablanca-Settat - Morocco",33.5333,-7.5833,Casablanca,Morocco
"Kumasi, Ashanti - Ghana",6.7,-1.625,Kumasi,Ghana
"Deyang, Sichuan - China",31.127,104.398,Deyang,China
"Busan, Busan - Korea, South",35.18,129.075,Busan,"Korea, South"
"Hohhot, Inner Mongolia - China",40.842,111.749,Hohhot,China
"Hechi, Guangxi - China",24.693,108.085,Hechi,China
"Algiers, Alger - Algeria",36.7539,3.0589,Algiers,Algeria
"Tangshan, Hebei - China",39.6294,118.1739,Tangshan,China
"Shiyan, Hubei - China",32.629,110.7987,Shiyan,China
"Lucknow, Uttar Pradesh - India",26.85,80.95,Lucknow,India
"Mashhad, Khorāsān-e Raẕavī - Iran",36.3264,59.5433,Mashhad,Iran
"San Francisco, California - United States",37.7558,-122.4449,San Francisco,United States
"Boankra, Ashanti - Ghana",6.6944,-1.4028,Boankra,Ghana
"Dubai, Dubayy - United Arab Emirates",25.2631,55.2972,Dubai,United Arab Emirates
"Anshan, Liaoning - China",41.108,122.994,Anshan,China
"Baojishi, Shaanxi - China",34.363,107.238,Baojishi,China
"Qinzhou, Guangxi - China",21.981,108.654,Qinzhou,China
"Guiyang, Guizhou - China",26.647,106.63,Guiyang,China
"Bengbu, Anhui - China",32.917,117.389,Bengbu,China
"Bazhou, Sichuan - China",31.868,106.748,Bazhou,China
"Suining, Sichuan - China",30.533,105.593,Suining,China
"Wuxi, Jiangsu - China",31.491,120.312,Wuxi,China
"Kotla Qasim Khan, Punjab - Pakistan",32.5833,73.75,Kotla Qasim Khan,Pakistan
"Hanzhong, Shaanxi - China",33.0664,107.0232,Hanzhong,China
"Putian, Fujian - China",25.4526,119.0078,Putian,China
"Zhenjiang, Jiangsu - China",32.188,119.424,Zhenjiang,China
"Guang’an, Sichuan - China",30.4564,106.6326,Guang’an,China
"Faisalabad, Punjab - Pakistan",31.4167,73.0911,Faisalabad,Pakistan
"Changzhi, Shanxi - China",36.195,113.117,Changzhi,China
"Tongren, Guizhou - China",27.7316,109.1895,Tongren,China
"Leshan, Sichuan - China",29.552,103.766,Leshan,China
"Santa Cruz de la Sierra, Santa Cruz - Bolivia",-17.7892,-63.1975,Santa Cruz de la Sierra,Bolivia
"Qinhuangdao, Hebei - China",39.8882,119.5202,Qinhuangdao,China
"Jaipur, Rājasthān - India",26.9,75.8,Jaipur,India
"Xinzhou, Shanxi - China",38.416,112.734,Xinzhou,China
"Lanzhou, Gansu - China",36.0606,103.8268,Lanzhou,China
"Wuzhou, Guangxi - China",23.4767,111.279,Wuzhou,China
"Athens, Attikí - Greece",37.9842,23.7281,Athens,Greece
"San Diego, California - United States",32.8313,-117.1222,San Diego,United States
"Addis Ababa, Ādīs Ābeba - Ethiopia",9.03,38.74,Addis Ababa,Ethiopia
"Taichung, Taichung - Taiwan",24.1439,120.6794,Taichung,Taiwan
"Huainan, Anhui - China",32.6314,117.0194,Huainan,China
"Guatemala City, Guatemala - Guatemala",14.6133,-90.5353,Guatemala City,Guatemala
"Kuwait City, Al ‘Āşimah - Kuwait",29.3697,47.9783,Kuwait City,Kuwait
"Budapest, Budapest - Hungary",47.4925,19.0514,Budapest,Hungary
"Qincheng, Gansu - China",34.5809,105.7311,Qincheng,China
"Rizhao, Shandong - China",35.417,119.527,Rizhao,China
"Quezon City, Quezon - Philippines",14.65,121.0475,Quezon City,Philippines
"Sanaa, Amānat al ‘Āşimah - Yemen",15.3483,44.2064,Sanaa,Yemen
"Tashkent, Toshkent - Uzbekistan",41.3111,69.2797,Tashkent,Uzbekistan
"Kyiv, Kyiv, Misto - Ukraine",50.45,30.5233,Kyiv,Ukraine
"Meishan, Sichuan - China",30.0771,103.8484,Meishan,China
"Incheon, Incheon - Korea, South",37.4833,126.6333,Incheon,"Korea, South"
"Birmingham, Birmingham - United Kingdom",52.48,-1.9025,Birmingham,United Kingdom
"Ningde, Fujian - China",26.6662,119.5477,Ningde,China
"Zhongshan, Guangdong - China",22.517,113.3925,Zhongshan,China
"Weihai, Shandong - China",37.5133,122.1205,Weihai,China
"Bursa, Bursa - Turkey",40.1833,29.05,Bursa,Turkey
"Minneapolis, Minnesota - United States",44.9635,-93.2678,Minneapolis,United States
"Mbuji-Mayi, Kasaï Oriental - Congo (Kinshasa)",-6.15,23.6,Mbuji-Mayi,Congo (Kinshasa)
"Haikou, Hainan - China",20.0186,110.3488,Haikou,China
"Tongliao, Inner Mongolia - China",43.654,122.243,Tongliao,China
"Chaoyang, Liaoning - China",41.571,120.453,Chaoyang,China
"La Paz, La Paz - Bolivia",-16.4958,-68.1333,La Paz,Bolivia
"Pyongyang, P’yŏngyang - Korea, North",39.0167,125.7475,Pyongyang,"Korea, North"
"Tampa, Florida - United States",27.9945,-82.4447,Tampa,United States
"Shaoguan, Guangdong - China",24.811,113.597,Shaoguan,China
"Heyuan, Guangdong - China",23.7443,114.7002,Heyuan,China
"Brasília, Distrito Federal - Brazil",-15.7939,-47.8828,Brasília,Brazil
"Omdurman, Khartoum - Sudan",15.65,32.4833,Omdurman,Sudan
"Malang, Jawa Timur - Indonesia",-7.98,112.62,Malang,Indonesia
"Stuttgart, Baden-Württemberg - Germany",48.7775,9.18,Stuttgart,Germany
"Daqing, Heilongjiang - China",46.589,125.104,Daqing,China
"Rome, Lazio - Italy",41.8933,12.4828,Rome,Italy
"Brooklyn, New York - United States",40.6501,-73.9496,Brooklyn,United States
"Kaohsiung, Kaohsiung - Taiwan",22.615,120.2975,Kaohsiung,Taiwan
"Xiangtan, Hunan - China",27.8313,112.9454,Xiangtan,China
"Longyan, Fujian - China",25.076,117.017,Longyan,China
"Baotou, Inner Mongolia - China",40.6213,109.9532,Baotou,China
"Handan, Hebei - China",36.601,114.487,Handan,China
"Jinzhou, Liaoning - China",41.129,121.148,Jinzhou,China
"Kanpur, Uttar Pradesh - India",26.4499,80.3319,Kanpur,India
"Denver, Colorado - United States",39.762,-104.8758,Denver,United States
"Nanping, Fujian - China",26.6418,118.1774,Nanping,China
"Gāzipura, Dhaka - Bangladesh",23.9889,90.375,Gāzipura,Bangladesh
"Shanwei, Guangdong - China",22.7872,115.3756,Shanwei,China
"Chaozhou, Guangdong - China",23.658,116.622,Chaozhou,China
"Guayaquil, Guayas - Ecuador",-2.19,-79.8875,Guayaquil,Ecuador
"Weifang, Shandong - China",36.708,119.162,Weifang,China
"Huai’an, Jiangsu - China",33.551,119.113,Huai’an,China
"Zibo, Shandong - China",36.8138,118.055,Zibo,China
"Ankang, Shaanxi - China",32.6854,109.029,Ankang,China
"Mogadishu, Banaadir - Somalia",2.0392,45.3419,Mogadishu,Somalia
"Munich, Bavaria - Germany",48.1375,11.575,Munich,Germany
"Gulou, Fujian - China",26.0865,119.298,Gulou,China
"Taipei, Taipei - Taiwan",25.0375,121.5625,Taipei,Taiwan
"Bekasi, Jawa Barat - Indonesia",-6.2349,106.9923,Bekasi,Indonesia
"Damascus, Dimashq - Syria",33.5131,36.2919,Damascus,Syria
"Sanming, Fujian - China",26.2634,117.6389,Sanming,China
"Yangjiang, Guangdong - China",21.857,111.983,Yangjiang,China
"Jiamusi, Heilongjiang - China",46.8,130.319,Jiamusi,China
"Luohe, Henan - China",33.583,114.0109,Luohe,China
"Medellín, Antioquia - Colombia",6.2308,-75.5906,Medellín,Colombia
"Dingxi, Gansu - China",35.608,104.592,Dingxi,China
"Shaoxing, Zhejiang - China",30.0511,120.5833,Shaoxing,China
"Yantai, Shandong - China",37.4646,121.4478,Yantai,China
"Huizhou, Guangdong - China",23.112,114.416,Huizhou,China
"Lishui, Zhejiang - China",28.468,119.923,Lishui,China
"Xuanzhou, Anhui - China",30.939,118.759,Xuanzhou,China
"Khowrhesht, Qazvīn - Iran",36.205,49.6872,Khowrhesht,Iran
"Mirzāpur, Uttar Pradesh - India",25.146,82.569,Mirzāpur,India
"Zigong, Sichuan - China",29.339,104.779,Zigong,China
"Hamburg, Hamburg - Germany",53.55,10.0,Hamburg,Germany
"Guangyuan, Sichuan - China",32.436,105.844,Guangyuan,China
"Cali, Valle del Cauca - Colombia",3.4206,-76.5222,Cali,Colombia
"Huangshi, Hubei - China",30.2011,115.039,Huangshi,China
"Xining, Qinghai - China",36.6224,101.7804,Xining,China
"Lusaka, Lusaka - Zambia",-15.4167,28.2833,Lusaka,Zambia
"Ouagadougou, Centre - Burkina Faso",12.3686,-1.5275,Ouagadougou,Burkina Faso
"Yaoundé, Centre - Cameroon",3.8667,11.5167,Yaoundé,Cameroon
"Zhuhai, Guangdong - China",22.2716,113.5769,Zhuhai,China
"Huludao, Liaoning - China",40.711,120.837,Huludao,China
"Baoshan, Yunnan - China",25.112,99.161,Baoshan,China
"Mecca, Makkah al Mukarramah - Saudi Arabia",21.4225,39.8233,Mecca,Saudi Arabia
"Vancouver, British Columbia - Canada",49.25,-123.1,Vancouver,Canada
"Lianshan, Liaoning - China",40.7523,120.828,Lianshan,China
"Beirut, Beyrouth - Lebanon",33.8983,35.5057,Beirut,Lebanon
"Salvador, Bahia - Brazil",-12.9747,-38.4767,Salvador,Brazil
"Bucharest, Bucureşti - Romania",44.4325,26.1039,Bucharest,Romania
"Longba, Gansu - China",33.3702,104.9603,Longba,China
"Nāgpur, Mahārāshtra - India",21.1497,79.0806,Nāgpur,India
"Queens, New York - United States",40.7498,-73.7976,Queens,United States
"Jilin, Jilin - China",43.8519,126.5481,Jilin,China
"Tieling, Liaoning - China",42.2237,123.726,Tieling,China
"Accra, Greater Accra - Ghana",5.55,-0.2,Accra,Ghana
"Yunfu, Guangdong - China",22.9152,112.0445,Yunfu,China
"Bekasi Kota, Jawa Barat - Indonesia",-6.2333,107.0,Bekasi Kota,Indonesia
"Daegu, Daegu - Korea, South",35.8717,128.6017,Daegu,"Korea, South"
"Ghāziābād, Uttar Pradesh - India",28.67,77.42,Ghāziābād,India
"Luoyang, Henan - China",34.6197,112.4539,Luoyang,China
"Brisbane, Queensland - Australia",-27.4678,153.0281,Brisbane,Australia
"Anshun, Guizhou - China",26.2531,105.9476,Anshun,China
"Riverside, California - United States",33.9381,-117.3949,Riverside,United States
"Yingkou, Liaoning - China",40.625,122.219,Yingkou,China
"Colombo, Western - Sri Lanka",6.9344,79.8428,Colombo,Sri Lanka
"Yanjiang, Sichuan - China",30.129,104.627,Yanjiang,China
"Baku, Bakı - Azerbaijan",40.3953,49.8822,Baku,Azerbaijan
"Antananarivo, Antananarivo - Madagascar",-18.91,47.525,Antananarivo,Madagascar
"Mudanjiang, Heilongjiang - China",44.5514,129.6329,Mudanjiang,China
"Fukuoka, Fukuoka - Japan",33.59,130.4017,Fukuoka,Japan
"Yan’an, Shaanxi - China",36.65,109.494,Yan’an,China
"Jincheng, Shanxi - China (35.491, 112.852)",35.491,112.852,Jincheng,China
"Nantong, Jiangsu - China",31.981,120.894,Nantong,China
"Lincang, Yunnan - China",23.884,100.089,Lincang,China
"Yuxi, Yunnan - China",24.347,102.527,Yuxi,China
"Las Vegas, Nevada - United States",36.2333,-115.2654,Las Vegas,United States
"Caracas, Distrito Capital - Venezuela",10.4806,-66.9036,Caracas,Venezuela
"Tangerang, Jawa Barat - Indonesia",-6.1703,106.6403,Tangerang,Indonesia
"Laibin, Guangxi - China",23.7501,109.2212,Laibin,China
"Konya, Konya - Turkey",37.8667,32.4833,Konya,Turkey
"Supaul, Bihār - India (26.126, 86.605)",26.126,86.605,Supaul,India
"Vienna, Wien - Austria",48.2083,16.3725,Vienna,Austria
"Eşfahān, Eşfahān - Iran",32.6447,51.6675,Eşfahān,Iran
"Baltimore, Maryland - United States",39.3051,-76.6144,Baltimore,United States
"Shengli, Shandong - China",37.434,118.6746,Shengli,China
"Dandong, Liaoning - China",40.1167,124.3833,Dandong,China
"Qinbaling, Gansu - China",35.7278,107.64,Qinbaling,China
"Gaoping, Sichuan - China",30.7824,106.1281,Gaoping,China
"Awka, Anambra - Nigeria",6.2069,7.0678,Awka,Nigeria
"Taizhou, Zhejiang - China",28.6557,121.4208,Taizhou,China
"Ma’anshan, Anhui - China",31.669,118.507,Ma’anshan,China
"Harare, Harare - Zimbabwe",-17.8292,31.0522,Harare,Zimbabwe
"Perth, Western Australia - Australia",-31.9559,115.8606,Perth,Australia
"St. Louis, Missouri - United States",38.6359,-90.2451,St. Louis,United States
"Phnom Penh, Phnom Penh - Cambodia",11.5694,104.9211,Phnom Penh,Cambodia
"Depok, Jawa Barat - Indonesia",-6.394,106.8225,Depok,Indonesia
"Stockholm, Stockholm - Sweden",59.3294,18.0686,Stockholm,Sweden
"Puning, Guangdong - China",23.298,116.166,Puning,China
"Huaibei, Anhui - China",33.956,116.798,Huaibei,China
"Kowloon, Hong Kong - Hong Kong",22.3167,114.1833,Kowloon,Hong Kong
"Córdoba, Córdoba - Argentina",-31.4167,-64.1833,Córdoba,Argentina
"Haiphong, Hải Phòng - Vietnam",20.8651,106.6838,Haiphong,Vietnam
